name,city,state,country,workerCount,womenPercentage,engagementProgram,x,y
"Wenzhou Zhongqiao Shoes Co., Ltd ",Wenzhou,Zhejiang,China,0-100,26-50%,NA,120.651,28.018
Welspun India Limited Anjar,Anjar,Gujarat,India,1001+,0-25%,NA,70.028,23.11
Leader Garments Corporation,Carmona,Cavite,Philippines,501-1000,51-75%,NA,121.034,14.3
"Huizhou Xinweifa Industrial Co., Ltd.",Huizhou,Guangdong,China,101-500,26-50%,NA,114.414,23.106
"CCP Contact Probe Co., Ltd.",Dongguan,Guangdong,China,1001+,26-50%,NA,113.747,23.044
Century Oversea ,New Delhi,Delhi,India,501-1000,0-25%,NA,77.148,28.652
Welspun India Limited Vapi,Vapi,Gujarat,India,1001+,0-25%,NA,72.917,20.372
"Nanyuan Knitting And Garments Co., Ltd. Taihe",Fuyang,Anhui,China,501-1000,76-100%,NA,115.809,32.893
"Hangzhou Dafangtools Co., Ltd",Hangzhou,Zhejiang,China,0-100,76-100%,NA,120.205,30.249
KYOCERA Connector products (Dongguan) Co. Ltd,Dongguan,Guangdong,China,501-1000,76-100%,NA,113.747,23.044
Mektec Corporation,Kaohsiung,Kaohsiung,Taiwan,501-1000,26-50%,NA,120.364,22.53
"Singapore - Micron Semiconductor, PTE Ltd.",Singapore,NA,Singapore,1001+,26-50%,NA,103.865,1.318
Southern Motion Baldwyn Plant,Baldwyn,Mississippi,United States,101-500,26-50%,NA,-88.635,34.51
OSM HK Limited,Shenzhen,Guangdong,China,101-500,51-75%,NA,114.055,22.545
"Lu'An The Sea Feather Down Products Company., Ltd.",Lu'an,Anhui,China,101-500,76-100%,NA,116.298,31.814
Epson Precision Malaysia Sdn. Bhd.,Sungai Buloh  ,Kuala Lumpur,Malaysia,1001+,0-25%,NA,101.612,3.2
"Taizhou Donghe Arts & Crafts Co., Ltd. ",Taizhou,Zhejiang,China,0-100,76-100%,NA,121.416,28.658
Bac Giang Lng Garment Corporation ,Bac Giang,Bắc Giang,Vietnam,1001+,76-100%,Better Work,106.194,21.278
"Singatron Electronic (Chung-Shan) Co.,LTD",Zhongshan,Guangdong,China,1001+,51-75%,NA,113.366,22.521
"Zhejiang Babei Necktie Weaving Mill Co, Ltd",Shaoxing,Zhejiang,China,101-500,76-100%,NA,120.827,29.563
"Jiangsu Hysafety Co., Ltd.",Huai’an,Jiangsu,China,101-500,76-100%,NA,119.021,33.59
"Cixi Modern Electric Industry Co., Ltd",Cixi,Zhejiang ,China,101-500,26-50%,NA,121.262,30.171
"Huizhou Jianrou Technology Co., Ltd.",Huizhou,Guangdong,China,1001+,26-50%,NA,114.414,23.106
International Vitamin Corporation (IVA),Mira Loma,California,United States,101-500,26-50%,NA,-117.515,33.982
Foshan Shunde Midea Electrical Heating App. Mfg. Co. Ltd,Foshan,Guangdong,China,1001+,26-50%,NA,113.115,23.025
